ID,Original_ID,Country Name,Country ISO3,Income Level,Authority,Date,Level 1 policy measures,Level 2 policy measures,Level 3 policy measures,Details of the measure,Reference,Termination Date,Modification of Parent Measure,Parent Measure,was_modified
1,1,China,CHN,Upper middle income,Sup,2020-02-01,Banking sector,Operational continuity,,"Require banks and insurance companies to ensure the safety, smoothness and efficiency of financial service; Provide fast path for afffected operations and businesses",http://www.gov.cn/zhengce/zhengceku/2020-02/03/content_5474105.htm,,No,,False
2,2,Canada,CAN,High income,Cb,2020-03-13,Liquidity/funding,Liquidity (incl fx)/ela,,"BoC also created a Bankers Acceptance Purchase Facility to stabilize the interbank market and has intervened to do the same in repo and mortgage securitization markets. BAPF operations will continue until October 31, 2020 or financial market conditions improve in the Bank's judgement.",https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/market-operations-programs-and-facilities/bankers-acceptance-purchase-facility/,2020-10-31,No,,False
3,3,China,CHN,Upper middle income,Cb,2020-02-05,Banking sector,Integrity,Other integrity,"The PBC has issued Notices on AML/CFT requirements in responding to the COVID-19 pandemic to all its branches on 5th Feb 2020. All branches of PBC should continue more pragmatic supervisory activities adapted to local situation and provide necessary guidance to local regulated entities when they face difficulties in meeting regulatory requirements. he PBC has issued Guidance on how to meet the AML/CFT requirements in responding to the COVID-19 pandemic to regulated entities on 5th Feb 2020. All regulated entities are encouraged to develop contingency program meeting the AML/CFT requirements by using the full range of RBA tools at their disposal. To support charitable activity and medical aid, simplified due diligence measures are allowed on low-risk services and products, but the STR of TF and the other high-risk areas should be maintained overall.",,,No,,False
4,4,Thailand,THA,Upper middle income,Cb,2020-02-05,Liquidity/funding,Policy rate,,"BOT cut its benchmark interest rate by 25 basis point, taking it to a record low 1%",https://www.bot.or.th/English/PressandSpeeches/Press/2020/Pages/n0563.aspx,,No,,False
5,5,Russian federation,RUS,Upper middle income,Cb,2020-02-07,Liquidity/funding,Policy rate,,Policy rates were reduced by 25 basis points to 6% on 02-07-2020,https://www.cnbc.com/2020/02/07/reuters-america-update-1-russia-lowers-key-rate-to-6-percent-says-more-cuts-still-possible-in-2020.html,,No,,False
6,6,Belarus,BLR,Upper middle income,Cb,2020-02-19,Liquidity/funding,Policy rate,,"As of February 19, 2020, the rate on overnight credit ��� from 10% to 9.75% and that on overnight deposit ��� from 8% to 7.75%,  the refinancing rate was cut from 9% to 8.75%.",https://www.nbrb.by/engl/press/9898,,No,,False
7,7,Belarus,BLR,Upper middle income,Cb,2020-02-19,Financial markets/nbfi,Market functioning,Ensure minimal functionality in the primary and secondary markets,The NBRB conducts foreign exchange interventions in additional volumes to lower market volatility.,,,No,,False
8,9,China,CHN,Upper middle income,Cb,2020-02-17,Liquidity/funding,Policy rate,,Medium-term lending facility (MLF) rate cut by 10bps to 4.050% and injected RMB 200 billion (0.2 percent of GDP) of funds via MLF on Feb 17.,https://www.reuters.com/article/us-china-economy-mlf/china-central-bank-cuts-one-year-mlf-rate-by-10-basis-points-to-support-virus-hit-economy-idUSKBN20B04B,,No,,False
9,10,Indonesia,IDN,Lower middle income,Cb,2020-02-20,Liquidity/funding,Policy rate,,"BI cut its seven-day reverse repo rate by 25 basis points to 4.75 percent, Deposit Facility (DF) rates lowered 25 bps to 4,00% and Lending Facility (LF) rates lowered 25 bps to 5,50%",https://www.bi.go.id/en/ruang-media/siaran-pers/Pages/SP_221320.aspx,,No,,False
10,11,Japan,JPN,High income,Mof,2020-02-20,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Packages of small business loans of $4.6 billion,,,No,,False
11,12,Uganda,UGA,Low income,Other,2020-02-20,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,"To encourage reduction in physical cash usage, MTN Uganda has waived on-net P2P transaction fees for transfers under $8. Zero charge for Bank to Wallet and Wallet to Bank transactions and zero charge for MOMPAY(e-payments) to both customers and merhcants for a period of 30 days effective Friday 20th 2020.",https://www.reuters.com/article/health-coronavirus-uganda-mtn/mtn-uganda-eliminates-mobile-money-charges-amid-coronavirus-outbreak-idUSL8N2BI39N,,No,,False
12,13,Vietnam,VNM,Lower middle income,Cb,2020-03-19,Financial markets/nbfi,Market functioning,Other market functioning,Several fees for securities services have been also reduced or made exempt between Mar. 19 to Aug. 31 to support the stock market.,,2020-08-31,No,,False
13,15,Malaysia,MYS,Upper middle income,Cb,2020-02-27,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","Bank Negara Malaysia (BNM) to provide RM 2 billion in working capital loans for SMEs affected by COVID-19 through new Special Relief Facility (SRF), with interest rate capped at 3.75% per annum. To be distributed through commercial banks by end-2020",https://www.aseanbriefing.com/news/malaysia-issues-stimulus-package-combat-covid-19-impact/,,No,,False
14,16,Malaysia,MYS,Upper middle income,Cb,2020-02-27,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","BNM established RM 200 million micro-credit scheme at 2% interest rate for micro-businesses. Maximum amount per entrepreneur increased from RM50,000 to RM75,000 and minimum time in operation for eligibility reduced from 1 year to 6 month.",https://www.aseanbriefing.com/news/malaysia-issues-stimulus-package-combat-covid-19-impact/,,No,,False
15,17,Malaysia,MYS,Upper middle income,Cb,2020-02-27,Banking sector,Support borrowers,Other support borrowers,"BNM has allocated RM1 billion (US$226 million) for a new Agrofood Facility to provide loans for working capital or capital expenditure to food-producing SMEs for domestic or export markets. Loans for 8 years at 3.75% interest, with maximum RM5 million (US$1.1 million) per company.",https://www.aseanbriefing.com/news/malaysia-issues-stimulus-package-combat-covid-19-impact/,,No,,False
16,18,Malaysia,MYS,Upper middle income,Cb,2020-02-27,Financial markets/nbfi,Market functioning,Other market functioning,Waiving of listing fees for one year by the SC and Bursa Malaysia on two funding platforms designed for smaller firms.,,2021-02-28,No,,False
17,19,Malaysia,MYS,Upper middle income,Cb,2020-02-27,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","BNM established the new Automation and Digitalisation Facility: 300 million ringgit (US$68 million) in loans at 4% interest available until end-2020 for SMEs looking to digitalize or automate their business. The financing can be used to help purchase hardware, software, and other IT solutions and services, in addition to equipment and machinery. Eligible SMEs can receive up to 3 million ringgit (US$679,000) with the tenure offered up until 10 years",https://www.aseanbriefing.com/news/malaysia-issues-stimulus-package-combat-covid-19-impact/,,No,,False
18,20,Malaysia,MYS,Upper middle income,Cb,2020-02-27,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Some 500 million ringgit (US$113 million) will be available for early stage and growth stage Malaysian companies. This fund will be co-funded by the government and the private sector,https://www.aseanbriefing.com/news/malaysia-issues-stimulus-package-combat-covid-19-impact/,,No,,False
19,21,Turkey,TUR,Upper middle income,Other,2020-02-28,Financial markets/nbfi,Market functioning,Market restrictions,Ban on short selling.,,,No,,False
